anchor_log10,K_compute,kernel,N,sigma_pred,sigma_eff,sigma_eff_hard,ratio_obs_over_hard,median_abs_err,mean_abs_err,ks_D_eff,ks_p_eff
9,2000,tukey50,20,78.92513540802928,75.59929209717403,63.87861931888703,1.1834835020427803,40.5367816388607,56.780736692994836,0.1624118368157827,0.627483475947394
9,4000,cosine,20,60.897828774048236,58.3825616782678,47.54433737968659,1.2279603607055813,39.89846696704626,43.6556257866323,0.17643389459978776,0.5206642750839505
9,4000,hamming,20,60.897828774048236,63.51261573349359,47.54433737968659,1.3358607824583855,44.99900820851326,46.40293404310942,0.15428045830816162,0.6907214383580529
9,4000,hann,20,60.897828774048236,65.80159660479167,47.54433737968659,1.3840049148083307,44.31666365265846,47.64373884126544,0.16416808329893173,0.6138505910078278
9,4000,hard,20,60.897828774048236,47.54433737968659,47.54433737968659,1.0,31.644615441560745,36.05537479519844,0.11634921264520248,0.9351287239178027
9,4000,riesz,20,60.897828774048236,56.98542473496109,47.54433737968659,1.1985743807906812,37.84327819943428,42.75838238671422,0.20289975721304898,0.34404710340154215
9,4000,riesz4,20,60.897828774048236,63.890562773349636,47.54433737968659,1.3438101421652582,47.14098557829857,46.760870111733674,0.15221258130118043,0.7066944893926794
9,4000,triangle,20,60.897828774048236,65.2689312483827,47.54433737968659,1.3728013649059494,45.164961978793144,48.06311937198043,0.1938057377955792,0.4000211761297313
9,4000,tukey25,20,60.897828774048236,50.305804073875905,47.54433737968659,1.0580819261847396,31.2239520996809,37.91692482680082,0.1826303706144491,0.4757756891129381
9,4000,tukey50,20,60.897828774048236,55.29866039666184,47.54433737968659,1.1630966681699575,32.93723285198212,41.10729255825281,0.20811454737041257,0.3143967038101413
