log10_x_anchor,x,pi_x,K,abs_err
5.0,140525,13052,4000,0.739311
5.0,140525,13052,4500,0.737570
5.0,140525,13052,5000,0.710835
5.0,140525,13052,6000,0.634327
5.0,140525,13052,7000,0.565708
5.0,140525,13052,8000,0.393095
5.0,140525,13052,9000,0.349355
5.0,140525,13052,10000,0.203435
5.0,140525,13052,11000,0.313643
5.0,140525,13052,12000,0.360145
5.0,140525,13052,13000,0.141820
5.0,140525,13052,14000,0.068314
5.0,140525,13052,15000,0.091224
5.0,140525,13052,16000,0.295151
5.0,140525,13052,17000,0.300976
5.0,140525,13052,18000,0.221552
5.0,140525,13052,19000,0.178536
5.0,140525,13052,20000,0.148644
5.0,144825,13408,250,0.387186
5.0,144825,13408,500,0.671454
5.0,144825,13408,750,0.583402
5.0,144825,13408,1000,0.152108
5.0,144825,13408,1500,0.573678
5.0,144825,13408,2000,0.197561
5.0,144825,13408,2500,0.098454
5.0,144825,13408,3000,0.197316
5.0,144825,13408,3500,0.184976
5.0,144825,13408,4000,0.342188
5.0,144825,13408,4500,0.555811
5.0,144825,13408,5000,0.424767
5.0,144825,13408,6000,0.353771
5.0,144825,13408,7000,0.199777
5.0,144825,13408,8000,0.209200
5.0,144825,13408,9000,0.339470
5.0,144825,13408,10000,0.313348
5.0,144825,13408,11000,0.016327
5.0,144825,13408,12000,0.162515
5.0,144825,13408,13000,0.273645
5.0,144825,13408,14000,0.223342
5.0,144825,13408,15000,0.167223
5.0,144825,13408,16000,0.127028
5.0,144825,13408,17000,0.016969
5.0,144825,13408,18000,0.058687
5.0,144825,13408,19000,0.099842
5.0,144825,13408,20000,0.141101
5.0,146214,13527,250,2.415523
5.0,146214,13527,500,0.583906
5.0,146214,13527,750,0.708926
5.0,146214,13527,1000,0.751912
5.0,146214,13527,1500,0.373276
5.0,146214,13527,2000,0.499656
5.0,146214,13527,2500,0.870601
5.0,146214,13527,3000,1.189150
5.0,146214,13527,3500,1.552760
5.0,146214,13527,4000,1.234238
5.0,146214,13527,4500,1.442773
5.0,146214,13527,5000,1.111347
5.0,146214,13527,6000,1.084189
5.0,146214,13527,7000,1.075677
5.0,146214,13527,8000,0.756478
5.0,146214,13527,9000,0.647904
5.0,146214,13527,10000,0.591788
5.0,146214,13527,11000,0.655125
5.0,146214,13527,12000,0.506137
5.0,146214,13527,13000,0.641732
5.0,146214,13527,14000,0.711263
5.0,146214,13527,15000,0.754921
5.0,146214,13527,16000,0.709961
5.0,146214,13527,17000,0.655562
5.0,146214,13527,18000,0.693468
5.0,146214,13527,19000,0.629085
5.0,146214,13527,20000,0.612281
5.0,147830,13665,250,5.414099
5.0,147830,13665,500,2.779378
5.0,147830,13665,750,2.912178
5.0,147830,13665,1000,2.484153
5.0,147830,13665,1500,2.134626
5.0,147830,13665,2000,1.386128
5.0,147830,13665,2500,0.886986
5.0,147830,13665,3000,1.039136
5.0,147830,13665,3500,1.114096
5.0,147830,13665,4000,0.626380
5.0,147830,13665,4500,0.560369
5.0,147830,13665,5000,0.437807
5.0,147830,13665,6000,0.574475
5.0,147830,13665,7000,0.541639
5.0,147830,13665,8000,0.263340
5.0,147830,13665,9000,0.439187
5.0,147830,13665,10000,0.400022
5.0,147830,13665,11000,0.579515
5.0,147830,13665,12000,0.480083
5.0,147830,13665,13000,0.709874
5.0,147830,13665,14000,0.884458
5.0,147830,13665,15000,0.767954
5.0,147830,13665,16000,0.645932
5.0,147830,13665,17000,0.675175
5.0,147830,13665,18000,0.813019
5.0,147830,13665,19000,0.820698
5.0,147830,13665,20000,0.671526
5.0,149532,13810,250,2.649259
5.0,149532,13810,500,1.876340
5.0,149532,13810,750,1.081802
5.0,149532,13810,1000,0.989347
5.0,149532,13810,1500,0.846175
5.0,149532,13810,2000,0.475080
5.0,149532,13810,2500,0.020954
5.0,149532,13810,3000,0.095331
5.0,149532,13810,3500,0.052818
5.0,149532,13810,4000,0.046197
5.0,149532,13810,4500,0.158561
5.0,149532,13810,5000,0.185293
5.0,149532,13810,6000,0.643006
5.0,149532,13810,7000,0.668872
5.0,149532,13810,8000,0.356741
5.0,149532,13810,9000,0.252040
5.0,149532,13810,10000,0.001610
5.0,149532,13810,11000,0.059477
