log10_x_anchor,x,pi_x,K,abs_err
4.0,12540,1497,7250,0.034873
4.0,12540,1497,7500,0.009716
4.0,12540,1497,7750,0.035912
4.0,12540,1497,8000,0.040590
4.0,12704,1517,50,1.216126
4.0,12704,1517,100,0.359239
4.0,12704,1517,150,0.468853
4.0,12704,1517,200,0.497931
4.0,12704,1517,250,0.608472
4.0,12704,1517,300,0.557818
4.0,12704,1517,350,0.492236
4.0,12704,1517,400,0.520535
4.0,12704,1517,450,0.207415
4.0,12704,1517,500,0.361825
4.0,12704,1517,600,0.555618
4.0,12704,1517,700,0.585413
4.0,12704,1517,800,0.415221
4.0,12704,1517,900,0.571624
4.0,12704,1517,1000,0.590973
4.0,12704,1517,1250,0.560952
4.0,12704,1517,1500,0.530427
4.0,12704,1517,1750,0.451340
4.0,12704,1517,2000,0.539921
4.0,12704,1517,2250,0.474969
4.0,12704,1517,2500,0.441433
4.0,12704,1517,2750,0.465580
4.0,12704,1517,3000,0.480358
4.0,12704,1517,3250,0.362842
4.0,12704,1517,3500,0.267627
4.0,12704,1517,3750,0.253233
4.0,12704,1517,4000,0.343294
4.0,12704,1517,4250,0.376679
4.0,12704,1517,4500,0.416721
4.0,12704,1517,4750,0.380653
4.0,12704,1517,5000,0.339313
4.0,12704,1517,5250,0.322229
4.0,12704,1517,5500,0.298822
4.0,12704,1517,5750,0.253771
4.0,12704,1517,6000,0.219975
4.0,12704,1517,6250,0.223189
4.0,12704,1517,6500,0.268198
4.0,12704,1517,6750,0.281915
4.0,12704,1517,7000,0.271183
4.0,12704,1517,7250,0.207195
4.0,12704,1517,7500,0.233042
4.0,12704,1517,7750,0.180971
4.0,12704,1517,8000,0.131582
4.0,12898,1534,50,2.457828
4.0,12898,1534,100,1.624585
4.0,12898,1534,150,1.791328
4.0,12898,1534,200,1.306275
4.0,12898,1534,250,0.928277
4.0,12898,1534,300,0.907436
4.0,12898,1534,350,0.942266
4.0,12898,1534,400,0.972772
4.0,12898,1534,450,0.873021
4.0,12898,1534,500,0.629713
4.0,12898,1534,600,0.560243
4.0,12898,1534,700,0.331098
4.0,12898,1534,800,0.333849
4.0,12898,1534,900,0.165106
4.0,12898,1534,1000,0.114929
4.0,12898,1534,1250,0.022278
4.0,12898,1534,1500,0.133507
4.0,12898,1534,1750,0.065385
4.0,12898,1534,2000,0.070673
4.0,12898,1534,2250,0.134658
4.0,12898,1534,2500,0.226632
4.0,12898,1534,2750,0.263338
4.0,12898,1534,3000,0.325581
4.0,12898,1534,3250,0.475372
4.0,12898,1534,3500,0.448844
4.0,12898,1534,3750,0.402171
4.0,12898,1534,4000,0.396790
4.0,12898,1534,4250,0.436806
4.0,12898,1534,4500,0.419291
4.0,12898,1534,4750,0.393771
4.0,12898,1534,5000,0.429483
4.0,12898,1534,5250,0.408651
4.0,12898,1534,5500,0.508973
4.0,12898,1534,5750,0.467892
4.0,12898,1534,6000,0.458909
4.0,12898,1534,6250,0.488676
4.0,12898,1534,6500,0.467955
4.0,12898,1534,6750,0.446988
4.0,12898,1534,7000,0.450227
4.0,12898,1534,7250,0.475886
4.0,12898,1534,7500,0.516936
4.0,12898,1534,7750,0.523488
4.0,12898,1534,8000,0.410212
4.0,12933,1540,50,0.232640
4.0,12933,1540,100,0.222099
4.0,12933,1540,150,0.173963
4.0,12933,1540,200,0.594939
4.0,12933,1540,250,0.907807
4.0,12933,1540,300,0.955030
4.0,12933,1540,350,0.868248
4.0,12933,1540,400,0.829596
4.0,12933,1540,450,0.628857
4.0,12933,1540,500,0.573422
4.0,12933,1540,600,0.292561
4.0,12933,1540,700,0.024053
4.0,12933,1540,800,0.024290
4.0,12933,1540,900,0.069942
4.0,12933,1540,1000,0.128109
4.0,12933,1540,1250,0.016290
4.0,12933,1540,1500,0.183363
4.0,12933,1540,1750,0.302965
4.0,12933,1540,2000,0.280855
4.0,12933,1540,2250,0.137070
4.0,12933,1540,2500,0.236171
4.0,12933,1540,2750,0.261004
4.0,12933,1540,3000,0.206486
4.0,12933,1540,3250,0.080122
4.0,12933,1540,3500,0.033856
4.0,12933,1540,3750,0.048296
4.0,12933,1540,4000,0.027598
4.0,12933,1540,4250,0.059181
4.0,12933,1540,4500,0.004261
4.0,12933,1540,4750,0.097524
4.0,12933,1540,5000,0.092468
4.0,12933,1540,5250,0.069730
4.0,12933,1540,5500,0.163290
4.0,12933,1540,5750,0.111135
4.0,12933,1540,6000,0.077688
4.0,12933,1540,6250,0.058195
4.0,12933,1540,6500,0.039325
4.0,12933,1540,6750,0.067594
4.0,12933,1540,7000,0.058515
4.0,12933,1540,7250,0.022990
4.0,12933,1540,7500,0.008400
4.0,12933,1540,7750,0.002634
4.0,12933,1540,8000,0.095682
4.0,13155,1564,50,0.497836
4.0,13155,1564,100,0.444769
4.0,13155,1564,150,0.697358
4.0,13155,1564,200,0.176461
4.0,13155,1564,250,0.448898
4.0,13155,1564,300,0.493809
4.0,13155,1564,350,0.449564
4.0,13155,1564,400,0.399205
4.0,13155,1564,450,0.454285
4.0,13155,1564,500,0.606243
4.0,13155,1564,600,0.594110
4.0,13155,1564,700,0.473267
4.0,13155,1564,800,0.286668
4.0,13155,1564,900,0.041866
4.0,13155,1564,1000,0.062274
4.0,13155,1564,1250,0.231734
4.0,13155,1564,1500,0.176259
4.0,13155,1564,1750,0.067155
4.0,13155,1564,2000,0.027879
4.0,13155,1564,2250,0.135030
4.0,13155,1564,2500,0.010474
4.0,13155,1564,2750,0.057002
4.0,13155,1564,3000,0.054899
4.0,13155,1564,3250,0.098099
4.0,13155,1564,3500,0.081817
4.0,13155,1564,3750,0.063031
4.0,13155,1564,4000,0.023509
4.0,13155,1564,4250,0.082645
4.0,13155,1564,4500,0.055880
4.0,13155,1564,4750,0.054261
4.0,13155,1564,5000,0.087941
4.0,13155,1564,5250,0.033505
4.0,13155,1564,5500,0.054180
4.0,13155,1564,5750,0.008683
4.0,13155,1564,6000,0.053855
4.0,13155,1564,6250,0.031522
4.0,13155,1564,6500,0.034802
4.0,13155,1564,6750,0.011042
4.0,13155,1564,7000,0.005166
4.0,13155,1564,7250,0.015359
4.0,13155,1564,7500,0.044372
4.0,13155,1564,7750,0.072179
4.0,13155,1564,8000,0.066841
4.0,13317,1581,50,0.004537
4.0,13317,1581,100,0.188241
4.0,13317,1581,150,0.128710
4.0,13317,1581,200,0.101021
4.0,13317,1581,250,0.258854
4.0,13317,1581,300,0.189741
4.0,13317,1581,350,0.034446
4.0,13317,1581,400,0.068956
4.0,13317,1581,450,0.059490
4.0,13317,1581,500,0.189850
