log10_x_anchor,x,pi_x,K,abs_err
4.0,14134,1663,2000,0.033669
4.0,14134,1663,3000,0.304506
4.0,14134,1663,4000,0.006556
4.0,14134,1663,5000,0.042249
4.0,14134,1663,6000,0.014356
4.0,14134,1663,7000,0.001771
4.0,14134,1663,8000,0.052373
4.0,14188,1669,1,1.379766
4.0,14188,1669,2,1.416591
4.0,14188,1669,5,0.172660
4.0,14188,1669,10,0.805681
4.0,14188,1669,20,0.723898
4.0,14188,1669,50,0.315418
4.0,14188,1669,100,0.547007
4.0,14188,1669,200,0.109190
4.0,14188,1669,300,0.452173
4.0,14188,1669,500,0.031300
4.0,14188,1669,700,0.010448
4.0,14188,1669,1000,0.267293
4.0,14188,1669,1500,0.046072
4.0,14188,1669,2000,0.041587
4.0,14188,1669,3000,0.075626
4.0,14188,1669,4000,0.076309
4.0,14188,1669,5000,0.006385
4.0,14188,1669,6000,0.147988
4.0,14188,1669,7000,0.056138
4.0,14188,1669,8000,0.048168
4.0,14362,1683,1,5.785271
4.0,14362,1683,2,5.530571
4.0,14362,1683,5,3.648437
4.0,14362,1683,10,2.467594
4.0,14362,1683,20,2.613939
4.0,14362,1683,50,0.342388
4.0,14362,1683,100,0.561337
4.0,14362,1683,200,0.245001
4.0,14362,1683,300,0.111466
4.0,14362,1683,500,0.179357
4.0,14362,1683,700,0.242236
4.0,14362,1683,1000,0.348489
4.0,14362,1683,1500,0.332476
4.0,14362,1683,2000,0.032152
4.0,14362,1683,3000,0.262555
4.0,14362,1683,4000,0.084072
4.0,14362,1683,5000,0.133636
4.0,14362,1683,6000,0.031881
4.0,14362,1683,7000,0.003207
4.0,14362,1683,8000,0.070465
4.0,14585,1708,1,4.322363
4.0,14585,1708,2,3.718461
4.0,14585,1708,5,1.824072
4.0,14585,1708,10,0.318005
4.0,14585,1708,20,0.580533
4.0,14585,1708,50,0.181661
4.0,14585,1708,100,0.330223
4.0,14585,1708,200,0.167078
4.0,14585,1708,300,0.050268
4.0,14585,1708,500,0.381025
4.0,14585,1708,700,0.545183
4.0,14585,1708,1000,0.806387
4.0,14585,1708,1500,0.772316
4.0,14585,1708,2000,0.438047
4.0,14585,1708,3000,0.004013
4.0,14585,1708,4000,0.086428
4.0,14585,1708,5000,0.100726
4.0,14585,1708,6000,0.031066
4.0,14585,1708,7000,0.167974
4.0,14585,1708,8000,0.101750
4.0,14779,1732,1,0.740148
4.0,14779,1732,2,0.119350
4.0,14779,1732,5,1.708782
4.0,14779,1732,10,3.005277
4.0,14779,1732,20,2.763087
4.0,14779,1732,50,1.059781
4.0,14779,1732,100,1.333913
4.0,14779,1732,200,1.576950
4.0,14779,1732,300,1.109333
4.0,14779,1732,500,0.938589
4.0,14779,1732,700,0.358926
4.0,14779,1732,1000,0.517020
4.0,14779,1732,1500,0.307218
4.0,14779,1732,2000,0.269083
4.0,14779,1732,3000,0.293592
4.0,14779,1732,4000,0.273609
4.0,14779,1732,5000,0.183603
4.0,14779,1732,6000,0.332348
4.0,14779,1732,7000,0.483168
4.0,14779,1732,8000,0.551194
4.0,14930,1748,1,0.588709
4.0,14930,1748,2,0.425690
