anchor_log10,x,h,max_p_h,S_inf,pi_h,li2_x,sqrt_x,sigma_pred_pois,S_30,r_30,S_50,r_50,S_100,r_100,S_200,r_200,S_500,r_500,S_1000,r_1000,S_2000,r_2000,S_5000,r_5000,r_inf
7,15399265,158,79,1.337471,86510,64701.985971,3924.189725,294.171735,1.320324,1082.438905,1.320324,1082.438905,1.337471,-27.009940,1.337471,-27.009940,1.337471,-27.009940,1.337471,-27.009940,1.337471,-27.009940,1.337471,-27.009940,-27.009940
7,15399265,198,11,2.934053,189943,64701.985971,3924.189725,435.705204,2.934053,103.975345,2.934053,103.975345,2.934053,103.975345,2.934053,103.975345,2.934053,103.975345,2.934053,103.975345,2.934053,103.975345,2.934053,103.975345,103.975345
7,15399265,218,109,1.332663,85882,64701.985971,3924.189725,293.642554,1.320324,454.438905,1.320324,454.438905,1.320324,454.438905,1.332663,-343.949516,1.332663,-343.949516,1.332663,-343.949516,1.332663,-343.949516,1.332663,-343.949516,-343.949516
7,15399265,302,151,1.329185,86051,64701.985971,3924.189725,293.259101,1.320324,623.438905,1.320324,623.438905,1.320324,623.438905,1.329185,50.099569,1.329185,50.099569,1.329185,50.099569,1.329185,50.099569,1.329185,50.099569,50.099569
7,15399265,398,199,1.327026,85629,64701.985971,3924.189725,293.020824,1.320324,201.438905,1.320324,201.438905,1.320324,201.438905,1.327026,-232.203537,1.327026,-232.203537,1.327026,-232.203537,1.327026,-232.203537,1.327026,-232.203537,-232.203537
7,15399265,502,251,1.325626,85776,64701.985971,3924.189725,292.866256,1.320324,348.438905,1.320324,348.438905,1.320324,348.438905,1.320324,348.438905,1.325626,5.356331,1.325626,5.356331,1.325626,5.356331,1.325626,5.356331,5.356331
7,15399265,606,101,2.667320,172266,64701.985971,3924.189725,415.428612,2.640647,1410.877811,2.640647,1410.877811,2.640647,1410.877811,2.667320,-314.931504,2.667320,-314.931504,2.667320,-314.931504,2.667320,-314.931504,2.667320,-314.931504,-314.931504
7,15399265,802,401,1.323633,85725,64701.985971,3924.189725,292.645973,1.320324,297.438905,1.320324,297.438905,1.320324,297.438905,1.320324,297.438905,1.323633,83.334742,1.323633,83.334742,1.323633,83.334742,1.323633,83.334742,83.334742
7,15399265,1006,503,1.322959,85437,64701.985971,3924.189725,292.571487,1.320324,9.438905,1.320324,9.438905,1.320324,9.438905,1.320324,9.438905,1.320324,9.438905,1.322959,-161.075189,1.322959,-161.075189,1.322959,-161.075189,-161.075189
7,15399265,1198,599,1.322535,85249,64701.985971,3924.189725,292.524624,1.320324,-178.561095,1.320324,-178.561095,1.320324,-178.561095,1.320324,-178.561095,1.320324,-178.561095,1.322535,-321.655837,1.322535,-321.655837,1.322535,-321.655837,-321.655837
